Name,Platform,Year_of_Release,Genre,Global_Sales,User_Score,User_Count
Scarface: The World is Yours,Wii,2007,Action,0.14,8.4,29
Manhunt 2,PSP,2007,Action,0.31,8.1,38
Call of Duty 4: Modern Warfare,DS,2007,Shooter,1.05,6.9,36
Mana Khemia: Alchemists of Al-Revis,PS2,2007,Role-Playing,0.06,7.5,41
Medal of Honor: Airborne,X360,2007,Shooter,1.1,6.7,77
Need for Speed: ProStreet,Wii,2007,Racing,1.1,6.9,14
MLB 07: The Show,PS3,2007,Sports,0.31,7.5,17
Metal Gear Solid: The Essential Collection,PS2,2007,Adventure,0.46,8.9,9
Shrek the Third,Wii,2007,Action,0.28,6.7,7
Tom Clancy's Ghost Recon Advanced Warfighter 2,X360,2007,Shooter,1.02,8.1,89
Jackass the Game,PS2,2007,Action,0.28,6.6,14
Victorious Boxers: Revolution,Wii,2007,Fighting,0.14,5.4,8
Surf's Up,DS,2007,Sports,0.28,7.0,4
SingStar,PS3,2007,Misc,1.13,5.9,15
Final Fantasy IV,DS,2007,Simulation,1.21,7.7,164
Syphon Filter: Dark Mirror,PS2,2007,Shooter,0.28,7.8,12
MLB 07: The Show,PSP,2007,Sports,0.28,7.2,10
Fantastic Four: Rise of the Silver Surfer,Wii,2007,Action,0.05,5.9,15
Crash of the Titans,X360,2007,Action,0.32,6.3,39
Pony Friends,DS,2007,Simulation,0.04,6.6,12
GrimGrimoire,PS2,2007,Strategy,0.05,7.9,17
S.T.A.L.K.E.R.: Shadow of Chernobyl,PC,2007,Shooter,0.06,8.4,1088
Fatal Inertia,X360,2007,Racing,0.13,4.2,19
Supreme Commander,PC,2007,Strategy,0.05,8.3,263
Jenga World Tour,Wii,2007,Misc,0.05,2.8,11
Metal Slug Anthology,PSP,2007,Shooter,0.05,7.4,25
Lost Odyssey,X360,2007,Role-Playing,0.9,8.3,432
The Golden Compass,PS3,2007,Action,0.28,4.8,16
Pool Party,Wii,2007,Sports,0.05,0.7,6
Tom Clancy's Ghost Recon Advanced Warfighter 2,PS3,2007,Shooter,1.03,8.1,41
Hot Wheels: Beat That!,Wii,2007,Racing,0.14,5.3,9
Grand Theft Auto: Vice City Stories,PS2,2007,Action,0.97,7.9,67
The Simpsons Game,X360,2007,Action,1.03,7.7,71
Silent Hunter: Wolves of the Pacific,PC,2007,Simulation,0.05,6.9,40
Bladestorm: The Hundred Years' War,PS3,2007,Action,0.28,7.9,28
Guitar Hero Encore: Rocks The 80s,PS2,2007,Misc,1.11,6.3,31
Madden NFL 08,PS3,2007,Sports,0.97,5.3,33
Fishing Master,Wii,2007,Misc,0.31,8.1,9
Tiger Woods PGA Tour 08,Wii,2007,Sports,1.02,7.0,22
Worldwide Soccer Manager 2008,PC,2007,Sports,1.12,8.0,19
Spider-Man 3,PS2,2007,Platform,0.9,6.5,28
FIFA Soccer 08,Wii,2007,Sports,1.02,6.1,26
The Simpsons Game,Wii,2007,Action,1.01,6.1,38
The Godfather: Blackhand Edition,Wii,2007,Adventure,0.15,8.5,48
Thrillville: Off the Rails,DS,2007,Strategy,0.04,6.2,5
Brunswick Pro Bowling,PSP,2007,Sports,0.21,7.3,4
Cooking Mama: Cook Off,Wii,2007,Simulation,2.89,5.3,23
The Legend of Spyro: The Eternal Night,Wii,2007,Platform,0.21,6.4,15
Mass Effect,X360,2007,Role-Playing,2.91,8.7,1692
Hellgate: London,PC,2007,Role-Playing,0.02,6.3,374
Rayman Raving Rabbids,X360,2007,Misc,0.21,7.3,19
Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007,Fighting,3.0,9.2,173
Vampire Rain,X360,2007,Action,0.21,2.9,44
Nervous Brickdown,DS,2007,Puzzle,0.02,7.5,11
Guitar Hero III: Legends of Rock,PC,2007,Misc,0.02,7.2,63
The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,3.1,8.0,604
Final Fantasy Fables: Chocobo's Dungeon,Wii,2007,Role-Playing,0.21,8.0,20
Imagine: Babyz,DS,2007,Simulation,2.87,7.7,15
NCAA March Madness 07,X360,2007,Sports,0.21,7.1,15
Crisis Core: Final Fantasy VII,PSP,2007,Role-Playing,3.18,8.0,463
Chili Con Carnage,PSP,2007,Shooter,0.02,8.2,13
Puzzle Quest: Challenge of the Warlords,PSP,2007,Puzzle,0.02,8.0,19
Worms,X360,2007,Strategy,0.02,6.9,28
College Hoops 2K8,X360,2007,Sports,0.18,6.9,16
Myth Makers: Super Kart GP,Wii,2007,Racing,0.02,1.8,4
Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,3.58,8.0,9
Pro Evolution Soccer 2008,PS2,2007,Sports,3.63,7.9,38
MySims,DS,2007,Simulation,3.66,7.3,13
Super Paper Mario,Wii,2007,Platform,3.71,7.9,417
Big Brain Academy: Wii Degree,Wii,2007,Misc,3.79,6.9,39
Enchanted Arms,PS3,2007,Role-Playing,0.2,5.9,40
FIFA Soccer 08,PS2,2007,Sports,3.14,6.5,36
BioShock,X360,2007,Shooter,2.83,8.9,2249
Imagine: Fashion Designer,DS,2007,Simulation,2.8,7.6,7
Spider-Man 3,PC,2007,Platform,0.02,7.1,29
Guitar Hero II,X360,2007,Misc,2.2,8.1,220
Fuzion Frenzy 2,X360,2007,Misc,0.17,5.2,31
Guitar Hero III: Legends of Rock,PS3,2007,Misc,2.24,7.8,52
Dinosaur King,DS,2007,Strategy,0.22,8.0,9
SimCity Societies,PC,2007,Simulation,0.02,4.3,95
World Series of Poker 2008: Battle for the Bracelets,PSP,2007,Misc,0.02,6.5,4
Touch the Dead,DS,2007,Shooter,0.22,5.6,5
Jackass the Game,PSP,2007,Action,0.22,7.0,12
LEGO Star Wars: The Complete Saga,PS3,2007,Action,2.29,6.7,87
DiRT,PC,2007,Racing,0.02,7.3,91
Aliens vs Predator: Requiem,PSP,2007,Action,0.22,5.6,19
WWE SmackDown vs Raw 2008,PS2,2007,Fighting,2.34,7.2,31
Madden NFL 08,X360,2007,Sports,2.37,6.4,108
Need for Speed: ProStreet,PS2,2007,Racing,2.41,6.2,34
Test Drive Unlimited,PC,2007,Racing,0.02,8.1,124
Game Party,Wii,2007,Misc,2.48,4.3,26
Bee Movie Game,X360,2007,Action,0.17,5.8,13
Mercury Meltdown Revolution,Wii,2007,Action,0.17,7.4,16
Monster Hunter Freedom 2,PSP,2007,Role-Playing,2.57,8.7,83
Madden NFL 08,PS2,2007,Sports,2.57,7.8,17
LEGO Star Wars: The Complete Saga,X360,2007,Action,2.57,7.4,114
Mario Strikers Charged,Wii,2007,Sports,2.58,8.0,124
Balls of Fury,Wii,2007,Sports,0.02,2.8,25
Overlord,PC,2007,Strategy,0.02,8.1,220
The Fast and the Furious,PSP,2007,Racing,0.02,5.3,6
Sonic and the Secret Rings,Wii,2007,Platform,2.73,6.6,174
Legend: Hand of God,PC,2007,Role-Playing,0.02,5.8,19
Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,3.83,4.0,4
The Settlers: Rise of an Empire,PC,2007,Strategy,0.02,7.7,44
Dragon Ball Z: Harukanaru Densetsu,DS,2007,Role-Playing,0.2,6.2,10
Professor Layton and the Diabolical Box,DS,2007,Puzzle,3.94,8.8,72
Theatre Of War,PC,2007,Strategy,0.01,6.2,21
Virtua Tennis 3,PC,2007,Sports,0.01,7.4,17
Metal Slug Anthology,PS2,2007,Shooter,0.01,8.1,16
Rail Simulator,PC,2007,Simulation,0.01,6.9,24
Spider-Man: Friend or Foe,PC,2007,Action,0.01,5.3,11
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,6.68,8.4,993
F.E.A.R. Perseus Mandate,PC,2007,Shooter,0.01,7.3,106
TimeShift,PC,2007,Shooter,0.01,7.6,124
Battlestations: Midway,PC,2007,Strategy,0.01,7.3,46
Dragon Blade: Wrath of Fire,Wii,2007,Action,0.18,7.5,17
Mario Party 8,Wii,2007,Misc,8.27,6.3,190
Monster Jam,PC,2007,Racing,0.01,5.8,5
Call of Juarez,X360,2007,Shooter,0.18,6.9,46
Fullmetal Alchemist: Trading Card Game,DS,2007,Misc,0.01,7.5,4
Call of Duty 4: Modern Warfare,X360,2007,Shooter,9.31,8.4,1320
Juiced 2: Hot Import Nights,PC,2007,Racing,0.01,5.0,42
Disney's Meet the Robinsons,Wii,2007,Action,0.19,6.3,4
Dungeon Explorer: Warriors of Ancient Arts,PSP,2007,Role-Playing,0.01,5.5,4
Hoshigami: Ruining Blue Earth Remix,DS,2007,Role-Playing,0.01,7.9,11
Clive Barker's Jericho,PC,2007,Shooter,0.01,7.5,218
Super Mario Galaxy,Wii,2007,Platform,11.35,8.9,2147
Halo 3,X360,2007,Shooter,12.12,7.8,4100
Sega Rally Revo,PC,2007,Racing,0.01,7.6,18
Hospital Tycoon,PC,2007,Strategy,0.01,3.8,29
Wii Fit,Wii,2007,Sports,22.7,7.7,146
One Piece: Unlimited Adventure,Wii,2007,Adventure,0.19,8.5,32
Mario Party DS,DS,2007,Misc,8.91,7.8,85
Conan,X360,2007,Action,0.19,7.3,67
LEGO Star Wars: The Complete Saga,Wii,2007,Action,5.64,8.9,62
Assassin's Creed,X360,2007,Adventure,5.54,7.7,1074
Gears of War,PC,2007,Shooter,0.02,7.8,567
Carnival Games,Wii,2007,Misc,4.05,6.0,44
Forza Motorsport 2,X360,2007,Racing,4.05,8.3,381
God of War II,PS2,2007,Action,4.07,8.9,709
World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,4.09,7.9,785
Monster Jam,X360,2007,Racing,0.2,6.4,5
Gran Turismo 5 Prologue,PS3,2007,Racing,4.19,7.1,120
Clive Barker's Jericho,PS3,2007,Shooter,0.2,7.1,52
SoulCalibur Legends,Wii,2007,Action,0.18,5.7,24
Enemy Territory: Quake Wars,PC,2007,Shooter,0.02,8.3,231
Spider-Man: Friend or Foe,PSP,2007,Action,0.18,4.4,9
Van Helsing,XB,2007,Action,0.18,7.6,8
FIFA Soccer 08,PC,2007,Sports,0.02,6.1,50
Guitar Hero III: Legends of Rock,X360,2007,Misc,4.53,7.9,165
Drone Tactics,DS,2007,Strategy,0.02,7.4,7
Guitar Hero III: Legends of Rock,Wii,2007,Misc,4.6,8.4,87
Soldier of Fortune: Payback,X360,2007,Shooter,0.2,5.6,20
LEGO Star Wars: The Complete Saga,DS,2007,Action,4.76,5.4,46
Assassin's Creed,PS3,2007,Adventure,4.82,7.3,769
Uncharted: Drake's Fortune,PS3,2007,Action,4.92,8.1,2306
Link's Crossbow Training,Wii,2007,Shooter,4.98,7.1,47
Guitar Hero III: Legends of Rock,PS2,2007,Misc,4.98,8.2,46
Warriors Orochi,X360,2007,Action,0.2,7.4,13
Ship Simulator 2008,PC,2007,Simulation,0.01,6.6,8
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,5.08,8.0,416
Professor Layton and the Curious Village,DS,2007,Puzzle,5.19,8.6,147
Neverwinter Nights 2: Mask of the Betrayer,PC,2007,Role-Playing,0.01,8.8,182
College Hoops 2K7,PS3,2007,Sports,0.18,7.1,8
Diddy Kong Racing DS,DS,2007,Racing,1.22,7.5,27
Viva Pinata,PC,2007,Simulation,0.02,7.8,20
Call of Duty: Roads to Victory,PSP,2007,Shooter,2.13,7.5,30
Disney Princess: Enchanted Journey,Wii,2007,Adventure,1.35,4.3,4
FIFA Soccer 08,PSP,2007,Sports,1.35,7.4,15
Meteos: Disney Magic,DS,2007,Puzzle,0.04,6.6,5
Rugby 08,PS2,2007,Sports,0.04,7.4,25
Bubble Bobble Double Shot,DS,2007,Puzzle,0.04,4.8,4
Bionicle Heroes,Wii,2007,Shooter,0.04,5.8,5
Harry Potter and the Order of the Phoenix,PC,2007,Action,0.04,7.1,34
Final Fantasy XII: Revenant Wings,DS,2007,Role-Playing,1.37,6.1,60
Tom Clancy's Splinter Cell: Double Agent,PS3,2007,Action,0.26,6.5,41
Napoleon Dynamite: The Game,PSP,2007,Puzzle,0.04,4.6,7
World in Conflict,PC,2007,Strategy,0.04,8.1,301
Sega Rally Revo,PSP,2007,Racing,0.25,7.2,9
FIFA Soccer 08,X360,2007,Sports,1.35,7.9,57
Bleach: Dark Souls,DS,2007,Fighting,0.15,7.9,14
NHL 08,PS3,2007,Action,0.25,6.9,23
Samurai Warriors: Katana,Wii,2007,Action,0.15,6.8,6
Juiced 2: Hot Import Nights,PS3,2007,Racing,0.25,6.4,5
Smarty Pants,Wii,2007,Misc,1.43,7.6,10
WWE SmackDown vs Raw 2008,X360,2007,Fighting,1.43,6.8,48
My Word Coach,DS,2007,Misc,1.44,6.8,5
WordJong,DS,2007,Puzzle,0.15,7.7,9
SingStar Pop,PS2,2007,Misc,1.44,7.5,8
Gothic Universe,PC,2007,Role-Playing,0.03,7.9,10
NHL 08,X360,2007,Action,0.25,8.2,44
MotoGP '07,X360,2007,Racing,0.25,7.3,11
Sonic Rivals 2,PSP,2007,Racing,1.48,7.8,35
Tomb Raider: Anniversary,PC,2007,Action,0.03,8.1,242
NCAA March Madness 08,PS2,2007,Sports,0.26,5.0,8
Supreme Commander: Forged Alliance,PC,2007,Strategy,0.04,8.9,219
Battlestations: Midway,X360,2007,Strategy,0.26,7.1,40
Ben 10: Protector of Earth,Wii,2007,Action,1.23,7.7,9
Dead Head Fred,PSP,2007,Action,0.04,7.3,23
Need for Speed: ProStreet,PC,2007,Racing,0.04,5.9,163
Harry Potter and the Order of the Phoenix,PS2,2007,Action,0.27,8.0,28
Stuntman: Ignition,PS2,2007,Racing,0.27,6.4,8
Winter Sports: The Ultimate Challenge,Wii,2007,Sports,1.24,6.8,4
Tom Clancy's Rainbow Six: Vegas,PS3,2007,Shooter,1.25,7.6,81
Rockstar Games presents Table Tennis,Wii,2007,Sports,1.26,5.8,21
Blazing Angels 2: Secret Missions of WWII,PS3,2007,Simulation,0.15,7.2,12
Guilty Gear XX Accent Core,Wii,2007,Fighting,0.04,8.4,19
The BIGS,X360,2007,Sports,0.27,8.4,21
The Dog Island,PS2,2007,Adventure,0.27,7.0,6
Company of Heroes: Opposing Fronts,PC,2007,Strategy,0.04,8.6,235
All-Pro Football 2K8,X360,2007,Sports,0.26,6.8,52
Fish Tycoon,DS,2007,Simulation,0.26,7.0,6
EA Playground,Wii,2007,Sports,1.29,7.6,30
Namco Museum DS,DS,2007,Misc,1.29,5.9,8
Samurai Warriors 2: Empires,X360,2007,Action,0.04,8.5,13
Surf's Up,PS3,2007,Sports,0.04,5.1,7
SWAT: Target Liberty,PSP,2007,Shooter,0.04,7.7,9
Empire Earth III,PC,2007,Strategy,0.04,2.8,53
Phantasy Star Universe: Ambition of the Illuminus,PS2,2007,Role-Playing,0.26,8.4,8
Brothers In Arms DS,DS,2007,Shooter,0.04,8.0,25
TMNT,DS,2007,Action,0.04,2.2,5
WWE SmackDown vs Raw 2008,PS3,2007,Fighting,1.33,7.3,41
Bratz: The Movie,Wii,2007,Simulation,0.26,5.0,6
Fantastic Four: Rise of the Silver Surfer,PS3,2007,Action,0.15,6.2,10
Tony Hawk's Proving Ground,Wii,2007,Sports,0.25,6.2,19
Pursuit Force: Extreme Justice,PSP,2007,Action,0.17,7.6,11
NBA Street Homecourt,PS3,2007,Sports,0.15,6.5,16
The Simpsons Game,DS,2007,Action,1.51,7.3,18
Dewy's Adventure,Wii,2007,Platform,0.16,6.3,15
Beowulf: The Game,PS3,2007,Action,0.16,5.2,17
Metroid Prime 3: Corruption,Wii,2007,Shooter,1.79,8.9,491
NASCAR 08,PS2,2007,Racing,0.24,8.2,9
Thrillville: Off the Rails,X360,2007,Strategy,0.16,2.8,34
The Orange Box,X360,2007,Shooter,1.82,8.9,797
Monster Jam,Wii,2007,Racing,0.16,7.8,8
Rayman Raving Rabbids 2,Wii,2007,Misc,1.83,8.3,66
Viva Pinata: Party Animals,X360,2007,Misc,0.23,6.2,18
Driver: Parallel Lines,Wii,2007,Racing,0.03,6.0,20
Medal of Honor: Vanguard,PS2,2007,Shooter,0.03,6.1,34
Looney Tunes: Acme Arsenal,Wii,2007,Action,0.23,5.1,14
The BIGS,PS3,2007,Sports,0.16,7.2,12
NASCAR 08,PS3,2007,Racing,0.23,5.0,14
The Sims 2: Bon Voyage,PC,2007,Simulation,0.03,7.3,24
AniMates!,DS,2007,Simulation,0.03,2.5,4
TouchMaster,DS,2007,Puzzle,2.0,5.7,9
Age of Empires III: Gold Edition,PC,2007,Strategy,0.03,7.8,6
Mortal Kombat: Armageddon,Wii,2007,Fighting,0.23,8.4,33
Need for Speed: ProStreet,PS3,2007,Racing,2.04,6.0,43
Need for Speed: ProStreet,X360,2007,Racing,2.05,7.1,78
Dance Dance Revolution: Hottest Party,Wii,2007,Simulation,2.07,7.1,27
Bomberman Land,Wii,2007,Misc,0.17,8.0,10
Tony Hawk's Proving Ground,DS,2007,Sports,0.23,6.7,6
Napoleon Dynamite: The Game,DS,2007,Puzzle,0.03,7.3,4
Dementium: The Ward,DS,2007,Shooter,0.17,7.9,37
Disney Friends,DS,2007,Simulation,0.16,7.3,4
NBA Live 08,Wii,2007,Sports,0.16,7.1,21
FIFA Soccer 08,PS3,2007,Sports,1.75,7.1,47
Harry Potter and the Order of the Phoenix,PS3,2007,Action,0.24,6.6,25
The Simpsons Game,PS2,2007,Action,1.51,8.2,27
Armored Core 4,X360,2007,Simulation,0.25,7.2,31
Major League Baseball 2K7,PS3,2007,Sports,0.25,4.7,7
Resident Evil: The Umbrella Chronicles,Wii,2007,Action,1.52,7.6,122
Chessmaster: The Art of Learning,DS,2007,Misc,0.15,6.7,10
All-Pro Football 2K8,PS3,2007,Sports,0.15,7.3,21
Godzilla Unleashed,Wii,2007,Fighting,0.16,7.2,37
Pro Evolution Soccer 2008,PS3,2007,Sports,1.59,6.1,47
Arcana Heart,PS2,2007,Fighting,0.16,8.1,8
Combat Mission: Shock Force,PC,2007,Strategy,0.03,3.3,86
Dragon Quest IV: Chapters of the Chosen,DS,2007,Role-Playing,1.62,7.9,50
Dancing With The Stars,Wii,2007,Misc,0.24,6.2,5
MySims,Wii,2007,Simulation,1.65,7.2,56
Heavenly Sword,PS3,2007,Action,1.65,8.3,544
Ratatouille,PC,2007,Action,0.03,7.9,9
Monster Jam,PS2,2007,Racing,0.24,5.9,7
Star Wars Battlefront: Renegade Squadron,PSP,2007,Shooter,1.67,7.9,46
N+,PSP,2007,Platform,0.03,7.8,18
Hot Pixel,PSP,2007,Puzzle,0.03,6.5,6
Deal or No Deal,DS,2007,Misc,1.7,1.9,41
Luminous Arc,DS,2007,Role-Playing,0.24,7.0,24
NBA 08,PSP,2007,Sports,0.03,7.5,8
TimeShift,PS3,2007,Shooter,0.16,6.3,27
Resident Evil 4,PC,2007,Action,0.03,7.4,242
Ghost Rider,PSP,2007,Action,0.24,5.7,13
Crackdown,X360,2007,Shooter,1.75,8.0,340
Driver '76,PSP,2007,Racing,0.24,7.9,18
Women's Volleyball Championship,PS2,2007,Sports,0.03,4.0,4
Foster's Home for Imaginary Friends: Imagination Invaders,DS,2007,Adventure,0.06,7.2,6
Dragon Ball Z: Budokai Tenkaichi 3,Wii,2007,Fighting,1.02,8.4,61
Coded Arms: Contagion,PSP,2007,Shooter,0.06,6.6,28
Looney Tunes: Acme Arsenal,PS2,2007,Action,0.38,3.9,7
Donkey Kong Barrel Blast,Wii,2007,Racing,0.62,6.8,26
NCAA Football 08,PS3,2007,Sports,0.38,7.9,28
Monster Madness: Battle for Suburbia,X360,2007,Shooter,0.11,5.2,18
Brunswick Pro Bowling,Wii,2007,Sports,0.38,5.4,23
Fantastic Four: Rise of the Silver Surfer,X360,2007,Action,0.11,5.4,16
Crash of the Titans,PSP,2007,Action,0.63,7.1,24
Shin Megami Tensei: Persona 3 FES,PS2,2007,Role-Playing,0.63,8.3,296
Sega Rally Revo,PS3,2007,Racing,0.63,7.0,20
Retro Game Challenge,DS,2007,Action,0.11,7.3,15
Juiced 2: Hot Import Nights,X360,2007,Racing,0.63,7.6,21
Madden NFL 08,GC,2007,Sports,0.08,7.0,7
Dokapon Kingdom,PS2,2007,Role-Playing,0.11,6.5,8
MX vs. ATV Untamed,PS2,2007,Racing,0.38,8.2,5
NBA Live 08,PS3,2007,Sports,0.63,6.8,10
The Dog Island,Wii,2007,Adventure,0.38,8.1,12
Puchi Puchi Virus,DS,2007,Puzzle,0.08,4.2,5
Stuntman: Ignition,X360,2007,Racing,0.64,7.3,31
Cosmic Family,Wii,2007,Misc,0.08,5.7,6
Star Ocean: First Departure,PSP,2007,Role-Playing,0.64,7.4,28
Wario: Master of Disguise,DS,2007,Platform,0.65,7.4,19
Alien Syndrome,PSP,2007,Role-Playing,0.08,6.0,9
Kingdom Under Fire: Circle of Doom,X360,2007,Role-Playing,0.37,5.9,49
Prince of Persia: Rival Swords,PSP,2007,Action,0.11,8.2,19
SpongeBob's Atlantis SquarePantis,Wii,2007,Action,0.61,5.5,6
Blacksite: Area 51,PS3,2007,Shooter,0.08,6.3,18
Blacksite: Area 51,X360,2007,Shooter,0.57,6.1,65
Overlord,X360,2007,Strategy,0.4,8.3,70
The Settlers,DS,2007,Action,0.11,5.6,7
The History Channel: Battle for the Pacific,Wii,2007,Shooter,0.11,5.3,6
Death Jr. and the Science Fair of Doom,DS,2007,Platform,0.08,7.5,6
Final Fantasy Anniversary Edition,PSP,2007,Role-Playing,0.58,7.7,47
Naruto: Path of the Ninja,DS,2007,Role-Playing,0.4,7.2,9
Tomb Raider: Anniversary,X360,2007,Action,0.39,8.3,39
Fantastic Four: Rise of the Silver Surfer,PS2,2007,Action,0.39,6.4,17
Ninjabread Man,Wii,2007,Action,0.08,1.7,52
Juiced 2: Hot Import Nights,PS2,2007,Racing,0.39,6.7,10
MLB Power Pros,PS2,2007,Sports,0.11,8.8,11
SimCity DS,DS,2007,Simulation,0.6,6.3,18
TMNT,PSP,2007,Action,0.11,4.1,12
Summon Night: Twin Age,DS,2007,Role-Playing,0.13,7.2,11
Cory in the House,DS,2007,Action,0.11,9.5,1273
The Golden Compass,DS,2007,Action,0.6,4.9,8
NBA 2K8,PS2,2007,Sports,0.6,6.0,9
Looney Tunes: Acme Arsenal,X360,2007,Action,0.08,6.8,13
Crush,PSP,2007,Puzzle,0.08,9.0,21
World Series of Poker 2008: Battle for the Bracelets,X360,2007,Misc,0.08,6.7,6
Cake Mania,DS,2007,Puzzle,0.11,6.1,7
Spider-Man: Friend or Foe,PS2,2007,Action,0.37,8.3,19
Skate,PS3,2007,Sports,0.37,8.2,57
TMNT,Wii,2007,Action,0.36,5.9,11
NCAA Football 08,X360,2007,Sports,0.7,7.8,44
Two Worlds,X360,2007,Role-Playing,0.7,5.5,182
Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,Wii,2007,Role-Playing,0.7,5.9,21
Dynasty Warriors 6,PS3,2007,Action,0.71,7.3,49
Madden NFL 08,PSP,2007,Sports,0.71,6.8,8
The Sims 2: Castaway,DS,2007,Simulation,0.71,4.0,5
Crysis,PC,2007,Shooter,0.71,8.0,1970
Ben 10: Protector of Earth,PSP,2007,Action,0.71,7.2,23
Skate,X360,2007,Sports,0.71,8.4,137
Record of Agarest War,PS3,2007,Role-Playing,0.07,6.8,34
Worms: Open Warfare 2,DS,2007,Strategy,0.35,9.1,22
Major League Baseball 2K7,X360,2007,Sports,0.72,7.1,34
Star Trek: Conquest,Wii,2007,Strategy,0.12,4.9,11
NBA Live 08,PS2,2007,Sports,0.72,6.6,9
Harvest Moon DS: Island of Happiness,DS,2007,Simulation,0.72,7.0,22
Puzzle Quest: Challenge of the Warlords,PS2,2007,Puzzle,0.12,7.0,6
The Sims 2: Seasons,PC,2007,Simulation,0.07,7.3,29
Chicken Shoot,Wii,2007,Action,0.35,4.8,26
Tiger Woods PGA Tour 08,PS3,2007,Sports,0.73,6.6,7
Pirates of the Caribbean: At World's End,PS3,2007,Action,0.73,6.9,19
Geometry Wars: Galaxies,Wii,2007,Shooter,0.12,8.2,26
Marvel Trading Card Game,DS,2007,Misc,0.12,4.9,7
CSI: Dark Motives,DS,2007,Adventure,0.07,6.7,6
R-Type Command,PSP,2007,Strategy,0.07,6.5,6
Ratatouille,PSP,2007,Action,0.66,7.1,7
Cruis'n,Wii,2007,Racing,0.12,3.7,18
The Darkness,PS3,2007,Shooter,0.66,7.7,107
The BIGS,Wii,2007,Sports,0.37,7.1,14
Tony Hawk's Proving Ground,PS2,2007,Sports,0.66,6.6,17
Juiced 2: Hot Import Nights,PSP,2007,Racing,0.37,7.8,11
Final Fantasy Crystal Chronicles: Ring of Fates,DS,2007,Role-Playing,0.66,7.2,25
Unreal Tournament III,PS3,2007,Shooter,0.67,7.7,127
The Legend of Spyro: The Eternal Night,DS,2007,Platform,0.37,2.7,6
Harry Potter and the Order of the Phoenix,PSP,2007,Action,0.37,7.6,20
Alvin and the Chipmunks,PS2,2007,Misc,0.07,4.5,6
The Sims 2: Castaway,PS2,2007,Simulation,0.37,8.0,15
Spider-Man 3,PS3,2007,Platform,0.67,7.0,40
Romance of the Three Kingdoms XI,PS2,2007,Strategy,0.07,8.4,8
Cars: Mater-National Championship,DS,2007,Racing,0.68,6.8,5
Hot Shots Golf: Open Tee 2,PSP,2007,Sports,0.68,8.6,12
MX vs. ATV Untamed,X360,2007,Racing,0.68,7.1,17
WWE SmackDown vs Raw 2008,DS,2007,Fighting,0.12,6.6,13
Aqua Teen Hunger Force: Zombie Ninja Pro-Am,PS2,2007,Racing,0.07,5.9,10
Operation Darkness,X360,2007,Role-Playing,0.07,7.0,21
Godzilla Unleashed: Double Smash,DS,2007,Action,0.12,4.9,8
Metal Gear Solid: Portable Ops Plus,PSP,2007,Action,0.69,7.5,27
Dynasty Warriors Gundam,X360,2007,Action,0.19,6.8,20
Beowulf: The Game,X360,2007,Action,0.4,4.7,30
Spider-Man 3,X360,2007,Platform,0.57,7.0,53
Scene It? Lights Camera Action,X360,2007,Misc,0.48,8.1,21
Shrek the Third,PS2,2007,Action,0.48,6.1,9
Surf's Up,X360,2007,Sports,0.1,6.1,9
Glory Days 2,DS,2007,Strategy,0.09,7.3,6
Bladestorm: The Hundred Years' War,X360,2007,Action,0.09,6.8,16
Fire Emblem: Radiant Dawn,Wii,2007,Strategy,0.49,8.7,180
Boogie,Wii,2007,Misc,0.49,5.3,54
Worms: Open Warfare 2,PSP,2007,Strategy,0.44,8.1,25
Cars Mater-National Championship,Wii,2007,Racing,0.49,6.7,6
Tony Hawk's Proving Ground,PS3,2007,Sports,0.44,6.6,17
Petz: Catz 2,Wii,2007,Simulation,0.44,5.8,6
Tomb Raider: Anniversary,PS2,2007,Action,0.5,8.2,29
NBA Street Homecourt,X360,2007,Sports,0.5,8.2,30
Dance Dance Revolution Universe 2,X360,2007,Simulation,0.5,7.4,5
Halo 2,PC,2007,Shooter,0.09,5.6,216
Medal of Honor: Vanguard,Wii,2007,Shooter,0.09,7.0,24
Test Drive Unlimited,PSP,2007,Racing,0.5,7.3,29
Final Fantasy II Anniversary Edition,PSP,2007,Role-Playing,0.5,7.1,24
Code Lyoko: Quest for Infinity,Wii,2007,Action,0.09,8.5,8
The Darkness,X360,2007,Shooter,0.44,8.1,196
Thrillville: Off the Rails,Wii,2007,Strategy,0.44,2.8,40
Draglade,DS,2007,Fighting,0.1,7.5,4
Picross DS,DS,2007,Puzzle,0.5,8.7,36
Sega Rally Revo,X360,2007,Racing,0.45,7.2,30
My Fashion Studio,DS,2007,Misc,0.45,6.8,6
Spider-Man 3,DS,2007,Platform,0.47,6.5,17
Opoona,Wii,2007,Role-Playing,0.1,7.7,14
Harry Potter and the Order of the Phoenix,Wii,2007,Action,0.46,7.2,28
Syphon Filter: Logan's Shadow,PSP,2007,Shooter,0.46,8.8,47
Crazy Taxi: Fare Wars,PSP,2007,Racing,0.47,7.1,18
Shadowrun,X360,2007,Role-Playing,0.47,7.5,156
